cve_entidad,entidad,cve_plantel,plantel,genero,nombre_empresa,carrera,sueldo_mensual_expresado_mnx,periodo
1,Aguascalientes,3012470,Ing. Miguel Ángel Barberena Vega,F,DAILFLEX,Mantenimiento de Sistemas Automáticos,"$8,001 - 10,000",Agosto 2024 (mensual)
1,Aguascalientes,3012470,Ing. Miguel Ángel Barberena Vega,M,NISSAN,Mantenimiento de Sistemas Automáticos,"$8,001 - 10,000",Agosto 2024 (mensual)
1,Aguascalientes,3012470,Ing. Miguel Ángel Barberena Vega,M,MALHE,Mantenimiento de Sistemas Automáticos,"$8,001 - 10,000",Agosto 2024 (mensual)
1,Aguascalientes,3012470,Ing. Miguel Ángel Barberena Vega,M,TACHIS,Mantenimiento de Sistemas Automáticos,"$8,001 - 10,000",Agosto 2024 (mensual)
1,Aguascalientes,3012470,Ing. Miguel Ángel Barberena Vega,M,CASTILLO INGENIEROS,Mantenimiento de Sistemas Automáticos,"$6,001 - 8,000",Agosto 2024 (mensual)
1,Aguascalientes,3012470,Ing. Miguel Ángel Barberena Vega,M,FANDHER,Mantenimiento de Sistemas Automáticos,"$8,001 - 10,000",Agosto 2024 (mensual)
1,Aguascalientes,3010160,Refugio Esparza R,F,MURALIA CENTRO,Informática,"$4,001 - 6,000",Noviembre 2024 (Mensual)
1,Aguascalientes,3010160,Refugio Esparza R,M,MOUNTHIN LUXURY,Control de Calidad,"$6,001 - 8,000",Noviembre 2024 (Mensual)
1,Aguascalientes,3010160,Refugio Esparza R,M,BEASTIE BOYS,Control de Calidad,"$15,001 - 20,000",Noviembre 2024 (Mensual)
1,Aguascalientes,3010160,Refugio Esparza R,M,LA MONUMENTAL,Control de Calidad,"$4,001 - 6,000",Noviembre 2024 (Mensual)
1,Aguascalientes,3010160,Refugio Esparza R,M,LA ULTIMA LUNA,Control de Calidad,"$4,001 - 6,000",Noviembre 2024 (Mensual)
1,Aguascalientes,3010160,Refugio Esparza R,M,RESTAURANTE LOS ARROLLO,Informática,"$2,001 - 4,000",Noviembre 2024 (Mensual)
1,Aguascalientes,3010160,Refugio Esparza R,M,NORIAS PURIFICADORA,Informática,"$4,001 - 6,000",Noviembre 2024 (Mensual)
1,Aguascalientes,3010160,Refugio Esparza R,F,TIENDA DE ROPA,Informática,"$4,001 - 6,000",Noviembre 2024 (Mensual)
1,Aguascalientes,3010160,Refugio Esparza R,M,ESTUDIO DE BELLEZA,Control de Calidad,"$4,001 - 6,000",Noviembre 2024 (Mensual)
1,Aguascalientes,3010160,Refugio Esparza R,M,FRUTERIA,Control de Calidad,"$4,001 - 6,000",Noviembre 2024 (Mensual)
1,Aguascalientes,3010160,Refugio Esparza R,M,COORDINACION GENERAL DE MOVILIDAD,Electrónica Industrial,"$8,001 - 10,000",Noviembre 2024 (Mensual)
1,Aguascalientes,3010160,Refugio Esparza R,M,MARIETA,Electrónica Industrial,"$2,001 - 4,000",Noviembre 2024 (Mensual)
1,Aguascalientes,3010160,Refugio Esparza R,M,MARISCOS,Electrónica Industrial,"$4,001 - 6,000",Noviembre 2024 (Mensual)
1,Aguascalientes,3010160,Refugio Esparza R,M,ELECTRONICO EN TELEFONOS,Electrónica Industrial,"$4,001 - 6,000",Noviembre 2024 (Mensual)
2,Baja California,3022150,César M. Mtz de E.,M,GRUPO SOUNI S. DE R.L. DE C.V,Electromecánica Industrial,"$10,001 - 15,000",Marzo 2024 (Mensual)
2,Baja California,3022150,César M. Mtz de E.,F,RESTAURANTE SAN MARCOS,Alimentos y Bebidas,"$8,001 - 10,000",junio 2024 (mensual)
2,Baja California,3022150,César M. Mtz de E.,M,CEMPOALLI,Electromecánica Industrial,"$10,001 - 15,000",Mayo 2024 (mensual)
2,Baja California,3022150,César M. Mtz de E.,M,RECICLADORA TEMARRY DE MEXICO S.A. DE C.V.,Informática,"$10,001 - 15,000",Marzo 2024 (Mensual)
2,Baja California,3022150,César M. Mtz de E.,M,ABORIGEN COCINA DE CAMPO,Alimentos y Bebidas,"$6,001 - 8,000",Marzo 2024 (Mensual)
2,Baja California,3022150,César M. Mtz de E.,M,ARROYO HOLDINGS DE MEXICO,Electromecánica Industrial,"$10,001 - 15,000",Abril 2024 (Mensual)
2,Baja California,3022150,César M. Mtz de E.,M,CAFETERIA ESCOLAR SECUNDARIA 202,Alimentos y Bebidas,"$2,001 - 4,000",Abril 2024 (Mensual)
2,Baja California,3022150,César M. Mtz de E.,F,HOME INDUSTRIAS,Electromecánica Industrial,"$6,001 - 8,000",Abril 2024 (Mensual)
2,Baja California,3022150,César M. Mtz de E.,F,RECICLADORA TEMARRY DE MEXICO S.A. DE C.V.,Administración,"$6,001 - 8,000",Marzo 2024 (Mensual)
2,Baja California,3022150,César M. Mtz de E.,M,GRUPO SOUNI S. DE R.L. DE C.V,Electromecánica Industrial,"$10,001 - 15,000",Marzo 2024 (Mensual)
2,Baja California,3022150,César M. Mtz de E.,M,RESTAURANTE SAN MARCOS,Alimentos y Bebidas,"$15,001 - 20,000",junio 2024 (mensual)
2,Baja California,3022150,César M. Mtz de E.,M,SERVICIOS Y MAQUILADOS DE MEXICO S.A. DE C.V.,Electromecánica Industrial,"$15,001 - 20,000",Mayo 2024 (mensual)
2,Baja California,3022150,César M. Mtz de E.,M,ROCKWELL AUTOMATION S.A. DE C.V,Electrónica Industrial,"$15,001 - 20,000",Agosto 2024 (mensual)
2,Baja California,3022150,César M. Mtz de E.,F,KDOGS AND MANDU COMIDA ASIATICA,Alimentos y Bebidas,"$8,001 - 10,000",Agosto 2024 (mensual)
2,Baja California,3022150,César M. Mtz de E.,F,PORTONES CREATIVOS DE MEXICO S.A DE C.V.,Electromecánica Industrial,"$10,001 - 15,000",Septiembre 2024 (mensual)
2,Baja California,3022150,César M. Mtz de E.,M,PORTONES CREATIVOS DE MEXICO S.A DE C.V.,Electromecánica Industrial,"$10,001 - 15,000",Septiembre 2024 (mensual)
2,Baja California,3022150,César M. Mtz de E.,M,PORTONES CREATIVOS DE MEXICO S.A DE C.V.,Electromecánica Industrial,"$10,001 - 15,000",Septiembre 2024 (mensual)
2,Baja California,3022150,César M. Mtz de E.,F,LA MISION TECATE,Alimentos y Bebidas,"$8,001 - 10,000",Septiembre 2024 (mensual)
2,Baja California,3022150,César M. Mtz de E.,F,LA MISION TECATE,Alimentos y Bebidas,"$8,001 - 10,000",Septiembre 2024 (mensual)
2,Baja California,3022150,César M. Mtz de E.,M,CASA VIVA,Alimentos y Bebidas,"$8,001 - 10,000",Septiembre 2024 (mensual)
2,Baja California,3022150,César M. Mtz de E.,M,TINCORP MANUFACTURING S.A DE C.V.,Electromecánica Industrial,"$15,001 - 20,000",Septiembre 2024 (mensual)
2,Baja California,3022150,César M. Mtz de E.,M,TINCORP MANUFACTURING S.A DE C.V.,Electromecánica Industrial,"$15,001 - 20,000",Septiembre 2024 (mensual)
2,Baja California,3022150,César M. Mtz de E.,M,TINCORP MANUFACTURING S.A DE C.V.,Electromecánica Industrial,"$15,001 - 20,000",Septiembre 2024 (mensual)
2,Baja California,3022150,César M. Mtz de E.,M,MADERAS Y MATERIALES DURAN S. DE R.L. DE C.V.,Informática,"$10,001 - 15,000",Septiembre 2024 (mensual)
2,Baja California,3020640,Ensenada,M,VETERINARIA ARROYO,Expresión Gráfica Digital,"$4,001 - 6,000",Mayo 2024 (mensual)
2,Baja California,3020640,Ensenada,M,CIRCULO K,Informática,"$8,001 - 10,000",Enero 2024 (Mensual)
2,Baja California,3020640,Ensenada,M,SUPER AQUA 2000,Informática,"$10,001 - 15,000",Marzo 2024 (Mensual)
2,Baja California,3020640,Ensenada,F,COLEGIO JOHN DEWEY,Expresión Gráfica Digital,"$2,001 - 4,000",Abril 2024 (Mensual)
2,Baja California,3020640,Ensenada,M,ARTICULOS EL TARKAN,Informática,"$8,001 - 10,000",Enero 2024 (Mensual)
2,Baja California,3020640,Ensenada,F,ATENCION DOMICILIARIA,Enfermería General,"$6,001 - 8,000",Abril 2024 (Mensual)
2,Baja California,3020640,Ensenada,F,CASA HOGAR DEL ANCIANO DE ENSENADA A.C.,Enfermería General,"$6,001 - 8,000",Abril 2024 (Mensual)
2,Baja California,3020640,Ensenada,F,VIKO TEXTIL,Enfermería General,"$8,001 - 10,000",Marzo 2024 (Mensual)
2,Baja California,3020640,Ensenada,M,ZAPATERIAS 3 HERMANOS,Enfermería General,"$8,001 - 10,000",Abril 2024 (Mensual)
2,Baja California,3020640,Ensenada,F,THERMO FISHER SCIENTIFIC,Informática,"Más de 20,001",Enero 2024 (Mensual)
2,Baja California,3020640,Ensenada,M,FERRETERIA EL MEÑO,Enfermería General,"$8,001 - 10,000",Mayo 2024 (mensual)
2,Baja California,3020640,Ensenada,F,ASCI,Administración,"$8,001 - 10,000",Mayo 2024 (mensual)
2,Baja California,3020640,Ensenada,F,UNIFORMES DEL MAR,Administración,"$6,001 - 8,000",Abril 2024 (Mensual)
2,Baja California,3020640,Ensenada,M,US CARE,Enfermería General,"Más de 20,001",Mayo 2024 (mensual)
2,Baja California,3020640,Ensenada,F,CLARIAL S.A. DE C.V.,Enfermería General,"$10,001 - 15,000",Febrero 2024 (Mensual)
2,Baja California,3020640,Ensenada,M,BODYSHOP NUMBER ONE,Informática,"$8,001 - 10,000",Abril 2024 (Mensual)
2,Baja California,3020640,Ensenada,F,SUSPIROS,Enfermería General,"$8,001 - 10,000",Febrero 2024 (Mensual)
2,Baja California,3020640,Ensenada,M,BUREO,Administración,"$10,001 - 15,000",Marzo 2024 (Mensual)
2,Baja California,3020640,Ensenada,F,EL REY DE LA TORTILLA 2,Administración,"$4,001 - 6,000",Enero 2024 (Mensual)
2,Baja California,3020640,Ensenada,F,TORTILLERIA EL REY DE LA TORTILLA,Administración,"$2,001 - 4,000",Mayo 2024 (mensual)
2,Baja California,3020640,Ensenada,F,HUTCHINSON,Administración,"$10,001 - 15,000",Febrero 2024 (Mensual)
2,Baja California,3020640,Ensenada,F,INUE UNIVERSIDAD,Expresión Gráfica Digital,"$15,001 - 20,000",Enero 2024 (Mensual)
2,Baja California,3020640,Ensenada,M,PARTICULAR CUIDADO PACIENTES,Enfermería General,"$6,001 - 8,000",Marzo 2024 (Mensual)
2,Baja California,3020640,Ensenada,M,T-SHIRT GUYS,Informática,"$10,001 - 15,000",Marzo 2024 (Mensual)
2,Baja California,3020640,Ensenada,M,ELOTERA,Informática,"$4,001 - 6,000",junio 2024 (mensual)
2,Baja California,3020640,Ensenada,F,CONALEP,Contabilidad,"$10,001 - 15,000",Enero 2024 (Mensual)
2,Baja California,3020640,Ensenada,F,TIANGUIS MANEADERO,Expresión Gráfica Digital,"$2,001 - 4,000",Julio 2024 (mensual)
2,Baja California,3020640,Ensenada,M,ISSSTE,Enfermería General,"Más de 20,001",Agosto 2024 (mensual)
2,Baja California,3020640,Ensenada,M,ABARROTES SINAHI,Administración,"$8,001 - 10,000",Agosto 2024 (mensual)
2,Baja California,3020640,Ensenada,M,PANADERIA DELANTE,Enfermería General,"Más de 20,001",Agosto 2024 (mensual)
2,Baja California,3020640,Ensenada,M,ICU MEDICAL,Administración,"$10,001 - 15,000",Agosto 2024 (mensual)
2,Baja California,3020640,Ensenada,M,MARISCOS EL JEFASO,Informática,"$6,001 - 8,000",Agosto 2024 (mensual)
2,Baja California,3020640,Ensenada,M,MERCADO ESTRELLA,Administración,"$6,001 - 8,000",Agosto 2024 (mensual)
2,Baja California,3020640,Ensenada,F,IMPRENTA ORTEGA,Expresión Gráfica Digital,"$6,001 - 8,000",Agosto 2024 (mensual)
2,Baja California,3020640,Ensenada,M,NOVEDADES IMPALA,Expresión Gráfica Digital,"$6,001 - 8,000",Agosto 2024 (mensual)
2,Baja California,3020640,Ensenada,F,BAZAR CHINO FIS,Informática,"$6,001 - 8,000",Agosto 2024 (mensual)
2,Baja California,3020640,Ensenada,M,CONTENEDORES BAJA,Enfermería General,"$15,001 - 20,000",Agosto 2024 (mensual)
2,Baja California,3020640,Ensenada,M,SONIDO AMIGOS,Administración,"$4,001 - 6,000",Agosto 2024 (mensual)
2,Baja California,3020640,Ensenada,M,SHIRAMI,Administración,"$2,001 - 4,000",Agosto 2024 (mensual)
2,Baja California,3020640,Ensenada,M,CONSTRUCCIONES CROSOR,Administración,"$6,001 - 8,000",Agosto 2024 (mensual)
2,Baja California,3020640,Ensenada,F,OCHENTOS PIZZA,Expresión Gráfica Digital,"$6,001 - 8,000",Agosto 2024 (mensual)
2,Baja California,3020640,Ensenada,M,ARRASTRES ENSENADA,Expresión Gráfica Digital,"$4,001 - 6,000",Agosto 2024 (mensual)
2,Baja California,3020640,Ensenada,M,EL JR TODO PARA FIESTAS,Expresión Gráfica Digital,"$4,001 - 6,000",Agosto 2024 (mensual)
2,Baja California,3020640,Ensenada,F,WALMART,Expresión Gráfica Digital,"$4,001 - 6,000",Agosto 2024 (mensual)
2,Baja California,3020640,Ensenada,M,HOSPITAL GENERAL,Enfermería General,"$8,001 - 10,000",Agosto 2024 (mensual)
2,Baja California,3020640,Ensenada,M,VENTAS VILLANUEVA,Enfermería General,"$6,001 - 8,000",Agosto 2024 (mensual)
2,Baja California,3020640,Ensenada,F,PHONE DEPOT,Enfermería General,"$2,001 - 4,000",Agosto 2024 (mensual)
2,Baja California,3020640,Ensenada,F,LABORATORIO MARIN,Enfermería General,"$4,001 - 6,000",Agosto 2024 (mensual)
2,Baja California,3020640,Ensenada,M,HOSPITAL GENERAL ENSENADA,Enfermería General,"$8,001 - 10,000",Septiembre 2024 (mensual)
2,Baja California,3020640,Ensenada,M,ABARROTES RUBI,Expresión Gráfica Digital,"$6,001 - 8,000",Septiembre 2024 (mensual)
2,Baja California,3020640,Ensenada,M,AGUA VITA,Enfermería General,"$6,001 - 8,000",Septiembre 2024 (mensual)
2,Baja California,3020640,Ensenada,F,SNACK ELOTES MIA,Enfermería General,"$6,001 - 8,000",Septiembre 2024 (mensual)
2,Baja California,3020640,Ensenada,M,SAGA,Enfermería General,"$6,001 - 8,000",Septiembre 2024 (mensual)
2,Baja California,3020640,Ensenada,F,JOYERIA BIZARRO,Administración,"$10,001 - 15,000",Septiembre 2024 (mensual)
2,Baja California,3020640,Ensenada,F,CARDIOMED,Enfermería General,"$8,001 - 10,000",Octubre 2024 (Mensual)
2,Baja California,3020640,Ensenada,M,SISTEMAS Y COMUNICACIONES TRC,Enfermería General,"$8,001 - 10,000",Octubre 2024 (Mensual)
2,Baja California,3020640,Ensenada,M,JARDIN DE NIÑOS Y GUARDERIA BADENPOWEL,Enfermería General,"$6,001 - 8,000",Octubre 2024 (Mensual)
2,Baja California,3020640,Ensenada,M,CONSTRUCTORA DO0MINGUEZ,Enfermería General,"$10,001 - 15,000",Octubre 2024 (Mensual)
2,Baja California,3020640,Ensenada,F,CURIOS Y ARTESANIAS MENDOZA,Enfermería General,"$10,001 - 15,000",Octubre 2024 (Mensual)
2,Baja California,3020640,Ensenada,M,ATENCION INTEGRAL DE ENFERMERIA,Enfermería General,"$8,001 - 10,000",Octubre 2024 (Mensual)
2,Baja California,3020640,Ensenada,M,CLINICA URGENCIAS M,Enfermería General,"$8,001 - 10,000",Noviembre 2024 (Mensual)
2,Baja California,3020640,Ensenada,M,HOSPITAL GENERAL,Enfermería General,"$10,001 - 15,000",Noviembre 2024 (Mensual)
2,Baja California,3020640,Ensenada,M,CLARIAL S.A. DE C.V.,Enfermería General,"$8,001 - 10,000",Noviembre 2024 (Mensual)
2,Baja California,3020640,Ensenada,M,RESIDENCIAL GEREATRICO HIDALGO,Enfermería General,"$8,001 - 10,000",Noviembre 2024 (Mensual)
2,Baja California,3020640,Ensenada,M,PAPAKAHUNA PIZZA,Enfermería General,"$2,001 - 4,000",Noviembre 2024 (Mensual)
2,Baja California,3020640,Ensenada,M,PAPELERIA GUSA,Enfermería General,"$10,001 - 15,000",Noviembre 2024 (Mensual)
2,Baja California,3020640,Ensenada,M,TACOS SICODELICOS,Informática,"$6,001 - 8,000",Diciembre 2024 (Mensual)
2,Baja California,3020640,Ensenada,M,CARROACERIA MACIAS,Expresión Gráfica Digital,"$4,001 - 6,000",Diciembre 2024 (Mensual)
2,Baja California,3020640,Ensenada,M,FRUTERIA GUTIERREZ,Expresión Gráfica Digital,"$10,001 - 15,000",Diciembre 2024 (Mensual)
2,Baja California,3020640,Ensenada,M,CARPINTERIA LA NORIA,Expresión Gráfica Digital,"$8,001 - 10,000",Diciembre 2024 (Mensual)
2,Baja California,3020640,Ensenada,F,CULICHIROLL,Expresión Gráfica Digital,"$8,001 - 10,000",Diciembre 2024 (Mensual)
2,Baja California,3020640,Ensenada,M,FERRETERIA  ISG SOLUTION,Expresión Gráfica Digital,"$8,001 - 10,000",Diciembre 2024 (Mensual)
2,Baja California,3020170,Mexicali I,M,furikawa,Administración,"$6,001 - 8,000",Mayo 2024 (mensual)
2,Baja California,3020170,Mexicali I,F,tienda de ropa,Administración,"$4,001 - 6,000",Mayo 2024 (mensual)
2,Baja California,3020170,Mexicali I,M,movistar,Administración,"$4,001 - 6,000",Mayo 2024 (mensual)
2,Baja California,3020170,Mexicali I,F,carls junior,Administración,"$6,001 - 8,000",Mayo 2024 (mensual)
2,Baja California,3020170,Mexicali I,M,TARIMERA,Electromecánica Industrial,"$6,001 - 8,000",Marzo 2024 (Mensual)
2,Baja California,3020170,Mexicali I,F,FASHION OUTLET,Electromecánica Industrial,"$8,001 - 10,000",Marzo 2024 (Mensual)
2,Baja California,3020170,Mexicali I,F,score,Administración,"$6,001 - 8,000",junio 2024 (mensual)
2,Baja California,3020170,Mexicali I,F,barcel,Productividad Industrial,"$4,001 - 6,000",junio 2024 (mensual)
2,Baja California,3020170,Mexicali I,M,TIENDAS OXXO,Productividad Industrial,"$10,001 - 15,000",Marzo 2024 (Mensual)
2,Baja California,3020170,Mexicali I,F,coopel,Administración,"$4,001 - 6,000",junio 2024 (mensual)
2,Baja California,3020170,Mexicali I,M,matco,Mecatrónica,"$4,001 - 6,000",Agosto 2024 (mensual)
2,Baja California,3020170,Mexicali I,M,matco,Mecatrónica,"$4,001 - 6,000",Agosto 2024 (mensual)
2,Baja California,3020170,Mexicali I,M,matco,Mecatrónica,"$4,001 - 6,000",Agosto 2024 (mensual)
2,Baja California,3020170,Mexicali I,M,matco,Electromecánica Industrial,"$4,001 - 6,000",Agosto 2024 (mensual)
2,Baja California,3020170,Mexicali I,M,matco,Mecatrónica,"$4,001 - 6,000",Agosto 2024 (mensual)
2,Baja California,3020170,Mexicali I,M,matco,Mecatrónica,"$4,001 - 6,000",Agosto 2024 (mensual)
2,Baja California,3020170,Mexicali I,M,matco,Mecatrónica,"$4,001 - 6,000",Agosto 2024 (mensual)
2,Baja California,3020170,Mexicali I,M,DESPACHO CONTABLE,Administración,"$4,001 - 6,000",Octubre 2024 (Mensual)
2,Baja California,3020170,Mexicali I,M,MERCADO APRECIO,Administración,"$2,001 - 4,000",Octubre 2024 (Mensual)
2,Baja California,3020170,Mexicali I,F,PIZZA MANNY,Administración,"$2,001 - 4,000",Octubre 2024 (Mensual)
2,Baja California,3020170,Mexicali I,M,FRUTAL,Electromecánica Industrial,"$4,001 - 6,000",Noviembre 2024 (Mensual)
2,Baja California,3020170,Mexicali I,M,EMPRESA ENVISTA,Electromecánica Industrial,"$4,001 - 6,000",Noviembre 2024 (Mensual)
2,Baja California,3020170,Mexicali I,M,RB REFRIGERACIONES,Electromecánica Industrial,"$4,001 - 6,000",Noviembre 2024 (Mensual)
2,Baja California,3020170,Mexicali I,M,BURGUER KING,Electromecánica Industrial,"$4,001 - 6,000",Noviembre 2024 (Mensual)
2,Baja California,3021540,Mexicali II,F,Transportes Estrella Blanca,Alimentos y Bebidas,"$2,001 - 4,000",Febrero 2024 (Mensual)
2,Baja California,3021540,Mexicali II,M,Tienda Padilla,Informática,"$4,001 - 6,000",Enero 2024 (Mensual)
2,Baja California,3021540,Mexicali II,F,Grupo Fetasa,Enfermería General,"$4,001 - 6,000",Enero 2024 (Mensual)
2,Baja California,3021540,Mexicali II,F,Slim Plan,Alimentos y Bebidas,"$4,001 - 6,000",Febrero 2024 (Mensual)
2,Baja California,3021540,Mexicali II,F,Barras Lupillo,Alimentos y Bebidas,"$4,001 - 6,000",Abril 2024 (Mensual)
2,Baja California,3021540,Mexicali II,F,Spectrum,Enfermería General,"$4,001 - 6,000",Abril 2024 (Mensual)
2,Baja California,3021540,Mexicali II,F,Tortilleria la mexicana,Alimentos y Bebidas,"$2,001 - 4,000",Marzo 2024 (Mensual)
2,Baja California,3021540,Mexicali II,M,Furukawa,Alimentos y Bebidas,"$4,001 - 6,000",Mayo 2024 (mensual)
2,Baja California,3021540,Mexicali II,M,Maxeon Maquiladora,Alimentos y Bebidas,"$6,001 - 8,000",Agosto 2024 (mensual)
2,Baja California,3021540,Mexicali II,M,Mr. Pampas,Informática,"$6,001 - 8,000",Agosto 2024 (mensual)
2,Baja California,3021540,Mexicali II,M,oxxo,Alimentos y Bebidas,"$6,001 - 8,000",Agosto 2024 (mensual)
2,Baja California,3021540,Mexicali II,M,Cell and Sound,Alimentos y Bebidas,"$6,001 - 8,000",Agosto 2024 (mensual)
2,Baja California,3021540,Mexicali II,F,Restaurante Blanca Nieves,Alimentos y Bebidas,"$6,001 - 8,000",Septiembre 2024 (mensual)
2,Baja California,3021540,Mexicali II,F,Furukawa Maquiladora,Informática,"$6,001 - 8,000",Septiembre 2024 (mensual)
2,Baja California,3021540,Mexicali II,M,Cecat,Hospitalidad Turística,"$2,001 - 4,000",Septiembre 2024 (mensual)
2,Baja California,3021540,Mexicali II,F,Liverpool,Alimentos y Bebidas,"$6,001 - 8,000",Septiembre 2024 (mensual)
2,Baja California,3021540,Mexicali II,M,Centura Alimentos,Informática,"$6,001 - 8,000",Septiembre 2024 (mensual)
2,Baja California,3021540,Mexicali II,M,Catalinas mariscos,Alimentos y Bebidas,"$4,001 - 6,000",Septiembre 2024 (mensual)
2,Baja California,3021540,Mexicali II,F,Mariscos laguna azul,Alimentos y Bebidas,"$6,001 - 8,000",Septiembre 2024 (mensual)
2,Baja California,3021540,Mexicali II,M,Mariscos laguna azul,Alimentos y Bebidas,"$2,001 - 4,000",Septiembre 2024 (mensual)
