_id,cve_entidad,entidad,cve_municipio,municipio,cve_localidad,localidad,institucion,nombre_institucion,escuela,nombre_escuela,cv_control,control,cv_subcontrol,c_subcontrol,domicilio,modalidad,escuelas_tec_esc,alumnos_tec_esc,tec_hom_esc,tec_muj_esc,ni_tec_total_esc,ni_tec_hom_esc,ni_tec_muj_esc,egre_tec_total_esc,egre_tec_hom_esc,egre_tec_muj_esc,titu_tec_total_esc,titu_tec_hom_esc,titu_tec_muj_esc,doc_tec_total_esc,doc_tec_hombres_esc,doc_tec_mujeres_esc,esc_lic_esc,alumnos_lic_esc,lic_hom_esc,lic_muj_esc,ni_lic_total_esc,ni_lic_hom_esc,ni_lic_muj_esc,egre_lic_total_esc,egre_lic_hom_esc,egre_lic_muj_esc,titu_lic_total_esc,titu_lic_hom_esc,titu_lic_muj_esc,doc_lic_total_esc,doc_lic_hombres_esc,doc_lic_mujeres_esc,esc_normal_esc,alumnos_lic_esc_normal,normal_hom_esc,normal_muj_esc,ni_normal_total_esc,ni_normal_hom_esc,ni_normal_muj_esc,egre_normal_total_esc,egre_normal_hom_esc,egre_normal_muj_esc,titu_normal_total_esc,titu_normal_hom_esc,titu_normal_muj_esc,doc_normal_total_esc,doc_normal_hombres_esc,doc_normal_mujeres_esc,esc_pos_esc,alum_pos_esc,pos_hombres_esc,pos_mujeres_esc,ni_pos_totales_esc,ni_pos_hombres_esc,ni_pos_mujeres_esc,egre_pos_total_esc,egre_pos_hombres_esc,egre_pos_mujeres_esc,titu_pos_total_esc,titu_pos_hombres_esc,titu_pos_mujeres_esc,doc_pos_total_esc,doc_pos_hombres_esc,doc_pos_mujeres_esc,fn_domicilio,entidad_etq
11,1,AGUASCALIENTES,1,AGUASCALIENTES,1,AGUASCALIENTES,01MSU0012T,UNIVERSIDAD LA CONCORDIA CAMPUS FORUM INTERNACIONAL,01PSU0027S,UNIVERSIDAD LA CONCORDIA CAMPUS FORUM INTERNACIONAL,2,PRIVADO,1,PRIVADO,AVENIDA TECNOLOGICO 109,ESCOLARIZADA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,422,146,276,10,5,5,27,3,24,28,6,22,82,36,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,,Aguascalientes
12,1,AGUASCALIENTES,1,AGUASCALIENTES,1,AGUASCALIENTES,01MSU0012T,UNIVERSIDAD LA CONCORDIA CAMPUS FORUM INTERNACIONAL,01PSU0033C,UNIVERSIDAD LA CONCORDIA CAMPUS CENTRO,2,PRIVADO,1,PRIVADO,CALLE 5 DE MAYO 122,ESCOLARIZADA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,269,74,195,17,4,13,56,28,28,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Aguascalientes
13,1,AGUASCALIENTES,1,AGUASCALIENTES,1,AGUASCALIENTES,01MSU0013S,INSTITUTO CULTURAL DE AGUASCALIENTES,01ESU0003C,INSTITUTO CULTURAL DE AGUASCALIENTES,1,PÚBLICO,2,ESTATAL,AVENIDA MANUEL GOMEZ MORIN 0,ESCOLARIZADA,1,99,57,42,32,19,13,8,5,3,1,0,1,29,24,5,1,131,25,106,0,0,0,46,19,27,18,7,11,45,23,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,5,5,5,4,1,0,0,0,1,0,1,8,6,2,,Aguascalientes
14,1,AGUASCALIENTES,1,AGUASCALIENTES,1,AGUASCALIENTES,01MSU0015Q,UNIVERSIDAD DE ESTUDIOS AVANZADOS CAMPUS AGUASCALIENTES,01PSU0017L,UNIVERSIDAD DE ESTUDIOS AVANZADOS CAMPUS AGUASCALIENTES,2,PRIVADO,1,PRIVADO,AVENIDA HEROE DE NACOZARI 402,ESCOLARIZADA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,193,71,122,0,0,0,78,30,48,76,38,38,82,38,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,15,7,8,9,3,6,7,3,4,,Aguascalientes
15,1,AGUASCALIENTES,1,AGUASCALIENTES,1,AGUASCALIENTES,01MSU0017O,INSTITUTO ESCADIA,01PSU0019J,INSTITUTO ESCADIA,2,PRIVADO,1,PRIVADO,AVENIDA AGUASCALIENTES NORTE 1698,ESCOLARIZADA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Aguascalientes
16,1,AGUASCALIENTES,1,AGUASCALIENTES,1,AGUASCALIENTES,01MSU0019M,UNIVERSIDAD INTERAMERICANA PARA EL DESARROLLO CAMPUS AGUASCALIENTES,01PSU0023W,UNIVERSIDAD INTERAMERICANA PARA EL DESARROLLO CAMPUS AGUASCALIENTES,2,PRIVADO,1,PRIVADO,AVENIDA DE LA CONVENCION DE 1914 PONIENTE 1204,ESCOLARIZADA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,44,27,17,18,10,8,23,8,15,0,0,0,60,36,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Aguascalientes
17,1,AGUASCALIENTES,1,AGUASCALIENTES,1,AGUASCALIENTES,01MSU0021A,COLEGIO LATINOAMERICANO DE EDUCACION AVANZADA,01PSU0028R,COLEGIO LATINOAMERICANO DE EDUCACION AVANZADA,2,PRIVADO,1,PRIVADO,AVENIDA REPUBLICA DEL SALVADOR 1619,ESCOLARIZADA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Aguascalientes
18,1,AGUASCALIENTES,6,PABELLÓN DE ARTEAGA,1,PABELLÓN DE ARTEAGA,01MSU0022Z,INSTITUTO TECNOLOGICO DE PABELLON DE ARTEAGA,01DIT0001Z,INSTITUTO TECNOLOGICO DE PABELLON DE ARTEAGA,1,PÚBLICO,1,FEDERAL,CALLE UNIDAD PRIMERA DEL DISTRITO DE RIEGO DEL MUNICIPIO DE PABELLON DE ARTEAGA 0,ESCOLARIZADA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,608,332,276,142,80,62,76,48,28,76,53,23,29,19,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,5,1,4,4,0,2,1,1,1,1,0,1,0,1,,Aguascalientes
19,1,AGUASCALIENTES,11,SAN FRANCISCO DE LOS ROMO,80,VIÑEDOS RIVIER,01MSU0024Y,UNIVERSIDAD DE DURANGO CAMPUS AGUASCALIENTES,01PSU0030F,UNIVERSIDAD DE DURANGO CAMPUS AGUASCALIENTES,2,PRIVADO,1,PRIVADO,BOULEVARD CARRETERA FEDERAL 45  0,ESCOLARIZADA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,279,147,132,16,6,10,0,0,0,0,0,0,33,15,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Aguascalientes
20,1,AGUASCALIENTES,1,AGUASCALIENTES,1,AGUASCALIENTES,01MSU0026W,UNIVERSIDAD DEL DESARROLLO PROFESIONAL,01PSU0032D,UNIVERSIDAD DEL DESARROLLO PROFESIONAL,2,PRIVADO,1,PRIVADO,BOULEVARD JOSÉ MARÍA CHÁVEZ 1123,ESCOLARIZADA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,141,32,109,141,32,109,0,0,0,0,0,0,35,15,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Aguascalientes
21,1,AGUASCALIENTES,3,CALVILLO,79,EL SALITRE,01MSU0027V,UNIVERSIDAD TECNOLOGICA DE CALVILLO,01EUT0003S,UNIVERSIDAD TECNOLOGICA DE CALVILLO,1,PÚBLICO,2,ESTATAL,CALLE CARRETERA AL TEPETATE 102,ESCOLARIZADA,1,233,95,138,133,48,85,73,30,43,49,20,29,39,22,17,1,72,23,49,54,21,33,74,15,59,3,1,2,14,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Aguascalientes
22,1,AGUASCALIENTES,1,AGUASCALIENTES,1,AGUASCALIENTES,01MSU0028U,UNIVERSIDAD BRITÁNICA DE MÉXICO,01PSU0035A,UNIVERSIDAD BRITÁNICA DE MÉXICO,2,PRIVADO,1,PRIVADO,CALLE VÁZQUEZ DEL MERCADO 101,ESCOLARIZADA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1822,651,1171,881,318,563,485,151,334,216,58,158,132,84,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Aguascalientes
23,1,AGUASCALIENTES,1,AGUASCALIENTES,1,AGUASCALIENTES,01MSU0029T,INSTITUTO TECNOLOGICO DE AGUASCALIENTES,01DIT0015C,INSTITUTO TECNOLOGICO DE AGUASCALIENTES,1,PÚBLICO,1,FEDERAL,AVENIDA LICENCIADO ADOLFO LOPEZ MATEOS 1801,ESCOLARIZADA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5887,3601,2286,1079,662,417,748,451,297,586,334,252,225,154,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,128,69,59,29,18,11,42,19,23,42,19,23,44,27,17,,Aguascalientes
24,1,AGUASCALIENTES,1,AGUASCALIENTES,1,AGUASCALIENTES,01MSU0030I,UNIVERSIDAD PANAMERICANA CAMPUS BONATERRA,01PSU0011R,ESCUELA DE PEDAGOGIA DE LA UNIVERSIDAD BONATERRA,2,PRIVADO,1,PRIVADO,CALLE JOSE MARIA ESCRIVA DE BALAGUER 101,ESCOLARIZADA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,88,16,72,41,12,29,20,3,17,9,2,7,39,14,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,52,9,43,15,5,10,53,10,43,7,0,7,31,15,16,,Aguascalientes
25,1,AGUASCALIENTES,1,AGUASCALIENTES,1,AGUASCALIENTES,01MSU0030I,UNIVERSIDAD PANAMERICANA CAMPUS BONATERRA,01PSU0012Q,ESCUELA DE DERECHO DE LA UNIVERSIDAD BONATERRA,2,PRIVADO,1,PRIVADO,CALLE JOSE MARIA ESCRIVA DE BALAGUER 101,ESCOLARIZADA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,189,88,101,42,20,22,18,10,8,24,13,11,39,26,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,64,38,26,20,13,7,31,20,11,7,4,3,7,5,2,,Aguascalientes
26,1,AGUASCALIENTES,1,AGUASCALIENTES,1,AGUASCALIENTES,01MSU0030I,UNIVERSIDAD PANAMERICANA CAMPUS BONATERRA,01PSU0013P,ESCUELA DE INGENIERIA DE LA UNIVERSIDAD BONATERRA,2,PRIVADO,1,PRIVADO,CALLE JOSE MARIA ESCRIVA DE BALAGUER 101,ESCOLARIZADA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,515,359,156,116,89,27,102,64,38,50,35,15,105,76,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,173,113,60,119,73,46,143,96,47,61,41,20,49,38,11,,Aguascalientes
27,1,AGUASCALIENTES,1,AGUASCALIENTES,1,AGUASCALIENTES,01MSU0030I,UNIVERSIDAD PANAMERICANA CAMPUS BONATERRA,01PSU0014O,ESCUELA DE CONTADURIA Y ADMINISTRACION DE LA U. BONATERRA,2,PRIVADO,1,PRIVADO,CALLE JOSE MARIA ESCRIVA DE BALAGUER 101,ESCOLARIZADA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,612,323,289,111,61,50,125,71,54,98,43,55,87,54,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,265,163,102,97,58,39,141,84,57,49,27,22,58,43,15,,Aguascalientes
28,1,AGUASCALIENTES,1,AGUASCALIENTES,1,AGUASCALIENTES,01MSU0030I,UNIVERSIDAD PANAMERICANA CAMPUS BONATERRA,01PSU0034B,ESCUELA DE NEGOCIOS GASTRONOMICOS,2,PRIVADO,1,PRIVADO,CALLE JOSE MARIA ESCRIVA DE BALAGUER 101,ESCOLARIZADA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,87,33,54,20,7,13,21,6,15,18,1,17,19,6,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20,8,12,0,0,0,7,3,4,0,0,0,13,6,7,,Aguascalientes
29,1,AGUASCALIENTES,1,AGUASCALIENTES,1,AGUASCALIENTES,01MSU0030I,UNIVERSIDAD PANAMERICANA CAMPUS BONATERRA,01PSU0051S,UNIVERSIDAD PANAMERICANA SEDE SAN TELMO,2,PRIVADO,1,PRIVADO,BOULEVARD A ZACATECAS 845,ESCOLARIZADA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,57,21,36,14,9,5,41,25,16,24,12,12,15,11,4,,Aguascalientes
30,1,AGUASCALIENTES,1,AGUASCALIENTES,1,AGUASCALIENTES,01MSU0030I,UNIVERSIDAD PANAMERICANA CAMPUS BONATERRA,01PSU0070G,ESCUELA DE ARQUITECTURA,2,PRIVADO,1,PRIVADO,CALLE JOSE MARIA ESCRIVA DE BALAGUER 101,ESCOLARIZADA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,48,24,24,32,16,16,0,0,0,0,0,0,16,13,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Aguascalientes
31,1,AGUASCALIENTES,1,AGUASCALIENTES,1,AGUASCALIENTES,01MSU0030I,UNIVERSIDAD PANAMERICANA CAMPUS BONATERRA,01PSU0071F,INSTITUTO DE HUMANIDADES,2,PRIVADO,1,PRIVADO,CALLE JOSE MARIA ESCRIVA DE BALAGUER 101,ESCOLARIZADA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,4,6,0,0,0,0,0,0,12,5,7,4,3,1,,Aguascalientes
32,1,AGUASCALIENTES,10,EL LLANO,74,EL RETOÑO,01MSU0031H,UNIVERSIDAD TECNOLOGICA EL RETOÑO,01EUT0004R,UNIVERSIDAD TECNOLOGICA EL RETOÑO,1,PÚBLICO,2,ESTATAL,CALLE CARRETERA AGUASCALIENTES-SAN LUIS POTOSI KILOMETRO 68 0,ESCOLARIZADA,1,778,430,348,378,224,154,168,98,70,0,0,0,1,1,0,1,143,76,67,0,0,0,37,18,19,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Aguascalientes
33,1,AGUASCALIENTES,1,AGUASCALIENTES,1,AGUASCALIENTES,01MSU0032G,UNIVERSIDAD LAS AMERICAS DE CENTRO OCCIDENTE,01PSU0038Y,UNIVERSIDAD LAS AMERICAS DE CENTRO OCCIDENTE,2,PRIVADO,1,PRIVADO,AVENIDA JOSE F. ELIZONDO 105,ESCOLARIZADA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,4,8,6,3,3,0,0,0,0,0,0,19,9,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,22,11,11,0,0,0,2,0,2,4,2,2,1,0,1,,Aguascalientes
34,1,AGUASCALIENTES,1,AGUASCALIENTES,1,AGUASCALIENTES,01MSU0032G,UNIVERSIDAD LAS AMERICAS DE CENTRO OCCIDENTE,01PSU0059K,UNIVERSIDAD LAS AMÉRICAS DE CENTRO OCCIDENTE,2,PRIVADO,1,PRIVADO,AVENIDA ADOLFO LOPEZ MATEOS 414,ESCOLARIZADA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,4,4,0,0,0,7,5,2,15,4,11,40,18,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Aguascalientes
35,1,AGUASCALIENTES,1,AGUASCALIENTES,1,AGUASCALIENTES,01MSU0032G,UNIVERSIDAD LAS AMERICAS DE CENTRO OCCIDENTE,01PSU0065V,UNIVERSIDAD LAS AMERICAS DE CENTRO OCCIDENTE CAMPUS CENTRO,2,PRIVADO,1,PRIVADO,AVENIDA ADOLFO LOPEZ MATEOS 414,ESCOLARIZADA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,39,21,18,35,19,16,0,0,0,23,11,12,17,8,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Aguascalientes
36,1,AGUASCALIENTES,7,RINCÓN DE ROMOS,1,RINCÓN DE ROMOS,01MSU0033F,INSTITUTO ALAMEDA A.C.,01PSU0036Z,INSTITUTO ALAMEDA A.C.,2,PRIVADO,1,PRIVADO,CALLE FRANCISCO PRIMO VERDAD 410,ESCOLARIZADA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,147,31,116,32,9,23,49,19,30,39,6,33,21,9,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,76,20,56,23,6,17,10,1,9,20,6,14,6,4,2,,Aguascalientes
37,1,AGUASCALIENTES,1,AGUASCALIENTES,1,AGUASCALIENTES,01MSU0034E,CENTRO UNIVERSITARIO INTERNACIONAL DE MEXICO CAMPUS AGUASCALIENTES,01PSU0037Z,CENTRO UNIVERSITARIO INTERNACIONAL DE MEXICO CAMPUS AGUASCALIENTES,2,PRIVADO,1,PRIVADO,AVENIDA ADOLFO LOPEZ MATEOS 433,ESCOLARIZADA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,70,66,4,25,22,3,14,12,2,14,12,2,9,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Aguascalientes
38,1,AGUASCALIENTES,1,AGUASCALIENTES,1,AGUASCALIENTES,01MSU0036C,TECNOLOGICO PROFESIONAL EN HOTELERIA Y RESTAURANTES HUGO ALBERTO MEDRANO PARADA,01PSU0040M,TECNOLOGICO PROFESIONAL EN HOTELERIA Y RESTAURANTES HUGO ALBERTO MEDRANO PARADA,2,PRIVADO,1,PRIVADO,BOULEVARD JOSE MARIA CHAVEZ 906,ESCOLARIZADA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,70,34,36,40,17,23,0,0,0,0,0,0,11,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Aguascalientes
