,ID,Name,Age,Photo,Nationality,Flag,Overall,Potential,Club,Club Logo,Value,Wage,Special,Preferred Foot,International Reputation,Weak Foot,Skill Moves,Work Rate,Body Type,Real Face,Position,Jersey Number,Joined,Loaned From,Contract Valid Until,Height,Weight,LS,ST,RS,LW,LF,CF,RF,RW,LAM,CAM,RAM,LM,LCM,CM,RCM,RM,LWB,LDM,CDM,RDM,RWB,LB,LCB,CB,RCB,RB,Crossing,Finishing,HeadingAccuracy,ShortPassing,Volleys,Dribbling,Curve,FKAccuracy,LongPassing,BallControl,Acceleration,SprintSpeed,Agility,Reactions,Balance,ShotPower,Jumping,Stamina,Strength,LongShots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Marking,StandingTackle,SlidingTackle,GKDiving,GKHandling,GKKicking,GKPositioning,GKReflexes,Release Clause
129,193082,J. Cuadrado,30,https://cdn.sofifa.org/players/4/19/193082.png,Colombia,https://cdn.sofifa.org/flags/56.png,84,84,Juventus,https://cdn.sofifa.org/teams/2/light/45.png,€29.5M,€150K,2163,Right,3,3,5,High/ Medium,Lean,Yes,RAM,11,"Feb 2, 2015",,2020,5'10,159lbs,76+3,76+3,76+3,82+3,81+3,81+3,81+3,82+3,81+3,81+3,81+3,81+3,77+3,77+3,77+3,81+3,76+3,72+3,72+3,72+3,76+3,75+3,69+3,69+3,69+3,75+3,80,67,58,80,70,90,78,69,69,85,89,93,91,80,82,84,75,78,61,80,78,62,78,76,65,80,63,70,74,5,5,13,6,9,€48.7M
138,183898,A. Di María,30,https://cdn.sofifa.org/players/4/19/183898.png,Argentina,https://cdn.sofifa.org/flags/52.png,84,84,Paris Saint-Germain,https://cdn.sofifa.org/teams/2/light/73.png,€29.5M,€125K,2113,Left,4,2,5,High/ Medium,Lean,Yes,RM,11,"Aug 6, 2015",,2021,5'11,152lbs,76+3,76+3,76+3,82+3,81+3,81+3,81+3,82+3,82+3,82+3,82+3,82+3,77+3,77+3,77+3,82+3,68+3,65+3,65+3,65+3,68+3,65+3,57+3,57+3,57+3,65+3,83,72,51,82,77,86,84,82,79,85,85,84,92,80,77,83,72,73,60,77,73,38,82,82,73,82,35,59,56,10,7,11,12,11,€54.6M
142,178562,E. Banega,30,https://cdn.sofifa.org/players/4/19/178562.png,Argentina,https://cdn.sofifa.org/flags/52.png,84,84,Sevilla FC,https://cdn.sofifa.org/teams/2/light/481.png,€29M,€31K,2133,Right,3,4,4,Medium/ Medium,Normal,Yes,CDM,10,"Jul 3, 2017",,2020,5'9,157lbs,71+3,71+3,71+3,78+3,77+3,77+3,77+3,78+3,81+3,81+3,81+3,79+3,82+3,82+3,82+3,79+3,75+3,78+3,78+3,78+3,75+3,72+3,69+3,69+3,69+3,72+3,80,66,49,88,65,84,83,81,87,86,68,64,79,77,83,74,57,74,67,78,73,76,75,88,78,80,75,69,64,13,8,7,7,10,€60.9M
148,167397,Falcao,32,https://cdn.sofifa.org/players/4/19/167397.png,Colombia,https://cdn.sofifa.org/flags/56.png,84,84,AS Monaco,https://cdn.sofifa.org/teams/2/light/69.png,€25M,€115K,2026,Right,3,4,3,High/ Medium,Normal,Yes,RS,9,"Jul 1, 2013",,2020,5'10,159lbs,81+3,81+3,81+3,76+3,79+3,79+3,79+3,76+3,77+3,77+3,77+3,74+3,72+3,72+3,72+3,74+3,57+3,59+3,59+3,59+3,57+3,55+3,57+3,57+3,57+3,55+3,55,86,89,79,84,75,83,73,58,82,69,66,76,85,75,79,91,68,75,80,75,41,88,70,81,87,39,42,19,10,13,6,9,5,€47.5M
151,143076,A. Gómez,30,https://cdn.sofifa.org/players/4/19/143076.png,Argentina,https://cdn.sofifa.org/flags/52.png,84,84,Atalanta,https://cdn.sofifa.org/teams/2/light/39.png,€30M,€53K,2049,Right,3,4,4,High/ Medium,Normal,No,LS,10,"Sep 2, 2014",,2022,5'5,150lbs,75+3,75+3,75+3,84+3,82+3,82+3,82+3,84+3,84+3,84+3,84+3,83+3,77+3,77+3,77+3,83+3,66+3,61+3,61+3,61+3,66+3,60+3,48+3,48+3,48+3,60+3,82,76,38,82,72,89,79,79,74,87,94,86,92,83,94,76,70,75,48,79,56,40,81,85,72,84,50,30,34,8,11,12,9,6,€51M
255,207471,F. Vázquez,29,https://cdn.sofifa.org/players/4/19/207471.png,Argentina,https://cdn.sofifa.org/flags/52.png,82,82,Sevilla FC,https://cdn.sofifa.org/teams/2/light/481.png,€21.5M,€27K,1969,Left,2,3,4,Medium/ High,Normal,Yes,LCM,22,"Jul 16, 2016",,2021,6'1,181lbs,76+2,76+2,76+2,78+2,79+2,79+2,79+2,78+2,80+2,80+2,80+2,77+2,77+2,77+2,77+2,77+2,62+2,66+2,66+2,66+2,62+2,59+2,58+2,58+2,58+2,59+2,73,74,68,84,81,86,79,68,78,87,58,62,69,78,39,76,44,61,79,84,78,54,77,84,67,80,46,40,37,14,15,13,9,7,€45.2M
282,191180,J. Pastore,29,https://cdn.sofifa.org/players/4/19/191180.png,Argentina,https://cdn.sofifa.org/flags/52.png,82,82,Roma,https://cdn.sofifa.org/teams/2/light/52.png,€21.5M,€84K,2050,Right,3,4,4,High/ Medium,Lean,Yes,CAM,27,"Jul 1, 2018",,2022,6'2,172lbs,75+3,75+3,75+3,80+3,80+3,80+3,80+3,80+3,82+3,82+3,82+3,79+3,80+3,80+3,80+3,79+3,69+3,70+3,70+3,70+3,69+3,66+3,61+3,61+3,61+3,66+3,77,73,61,86,78,87,83,69,83,86,69,69,79,78,63,78,49,62,64,76,65,69,78,87,75,80,45,59,51,14,9,6,10,12,€36.6M
295,184144,N. Gaitán,30,https://cdn.sofifa.org/players/4/19/184144.png,Argentina,https://cdn.sofifa.org/flags/52.png,82,82,Dalian YiFang FC,https://cdn.sofifa.org/teams/2/light/112378.png,€21M,€22K,2010,Left,3,2,4,Medium/ Medium,Lean,Yes,CAM,9,"Feb 27, 2018",,2021,5'8,146lbs,73+3,73+3,73+3,80+3,79+3,79+3,79+3,80+3,80+3,80+3,80+3,80+3,75+3,75+3,75+3,80+3,64+3,60+3,60+3,60+3,64+3,60+3,51+3,51+3,51+3,60+3,80,71,54,81,81,84,88,72,75,83,84,79,87,82,81,72,81,69,46,73,57,40,77,82,71,80,35,42,43,8,11,9,7,5,€45.2M
303,179847,F. Fazio,31,https://cdn.sofifa.org/players/4/19/179847.png,Argentina,https://cdn.sofifa.org/flags/52.png,82,82,Roma,https://cdn.sofifa.org/teams/2/light/52.png,€15M,€73K,1633,Right,3,2,2,Medium/ Medium,Normal,Yes,LCB,20,"Jul 15, 2017",,2020,6'5,187lbs,56+3,56+3,56+3,50+3,53+3,53+3,53+3,50+3,52+3,52+3,52+3,54+3,61+3,61+3,61+3,54+3,69+3,76+3,76+3,76+3,69+3,71+3,81+3,81+3,81+3,71+3,44,41,89,64,35,48,46,37,62,72,36,43,29,84,32,63,41,74,91,26,84,85,32,47,26,86,85,85,78,8,9,12,11,14,€25.5M
306,171897,A. Guardado,31,https://cdn.sofifa.org/players/4/19/171897.png,Mexico,https://cdn.sofifa.org/flags/83.png,82,82,Real Betis,https://cdn.sofifa.org/teams/2/light/449.png,€19M,€35K,2146,Left,3,2,4,Medium/ Medium,Lean,Yes,CM,18,"Jul 7, 2017",,2020,5'7,148lbs,70+3,70+3,70+3,76+3,76+3,76+3,76+3,76+3,78+3,78+3,78+3,78+3,80+3,80+3,80+3,78+3,77+3,78+3,78+3,78+3,77+3,75+3,71+3,71+3,71+3,75+3,73,60,55,85,69,80,78,81,83,84,74,73,81,82,88,74,74,84,57,72,72,73,70,83,70,76,75,75,73,7,10,10,11,10,€39.9M
307,170481,E. Garay,31,https://cdn.sofifa.org/players/4/19/170481.png,Argentina,https://cdn.sofifa.org/flags/52.png,82,82,Valencia CF,https://cdn.sofifa.org/teams/2/light/461.png,€15M,€44K,1896,Right,3,3,2,Medium/ Medium,Normal,Yes,RCB,24,"Aug 31, 2016",,2020,6'2,198lbs,63+3,63+3,63+3,59+3,60+3,60+3,60+3,59+3,61+3,61+3,61+3,60+3,68+3,68+3,68+3,60+3,69+3,76+3,76+3,76+3,69+3,70+3,79+3,79+3,79+3,70+3,62,58,80,69,49,60,55,74,72,73,34,36,54,76,34,80,76,62,88,64,77,83,42,63,69,78,82,83,81,14,6,13,13,14,€31.5M
313,158963,L. Biglia,32,https://cdn.sofifa.org/players/4/19/158963.png,Argentina,https://cdn.sofifa.org/flags/52.png,82,82,Milan,https://cdn.sofifa.org/teams/2/light/47.png,€12.5M,€98K,2104,Right,3,4,3,Medium/ High,Normal,No,CDM,21,"Jul 17, 2017",,2020,5'10,139lbs,66+3,66+3,66+3,72+3,71+3,71+3,71+3,72+3,75+3,75+3,75+3,74+3,78+3,78+3,78+3,74+3,77+3,80+3,80+3,80+3,77+3,76+3,75+3,75+3,75+3,76+3,74,50,54,86,78,80,71,76,82,84,65,65,76,80,78,77,62,75,65,75,83,82,50,80,72,80,80,78,74,14,12,7,12,7,€21.3M
329,221992,H. Lozano,22,https://cdn.sofifa.org/players/4/19/221992.png,Mexico,https://cdn.sofifa.org/flags/83.png,81,86,PSV,https://cdn.sofifa.org/teams/2/light/247.png,€24M,€22K,2019,Right,3,4,4,High/ Medium,Lean,Yes,LS,22,"Jul 21, 2017",,2023,5'9,154lbs,76+3,76+3,76+3,80+3,79+3,79+3,79+3,80+3,78+3,78+3,78+3,79+3,72+3,72+3,72+3,79+3,64+3,59+3,59+3,59+3,64+3,60+3,52+3,52+3,52+3,60+3,75,77,60,74,75,84,72,65,67,80,94,93,91,77,76,76,75,80,59,76,64,45,77,75,64,77,45,35,29,11,10,14,14,10,€35.4M
335,214997,A. Correa,23,https://cdn.sofifa.org/players/4/19/214997.png,Argentina,https://cdn.sofifa.org/flags/52.png,81,87,Atlético Madrid,https://cdn.sofifa.org/teams/2/light/240.png,€24.5M,€54K,2047,Right,1,4,4,Medium/ Low,Lean,Yes,RM,11,"Dec 13, 2014",,2024,5'7,150lbs,79+2,79+2,79+2,82+2,82+2,82+2,82+2,82+2,81+2,81+2,81+2,80+2,75+2,75+2,75+2,80+2,67+2,63+2,63+2,63+2,67+2,65+2,58+2,58+2,58+2,65+2,74,82,67,73,79,87,82,65,65,87,87,82,87,82,83,80,50,74,63,83,41,48,82,78,55,74,58,53,44,13,10,9,8,16,€55.1M
346,207664,C. Bacca,31,https://cdn.sofifa.org/players/4/19/207664.png,Colombia,https://cdn.sofifa.org/flags/56.png,81,81,Villarreal CF,https://cdn.sofifa.org/teams/2/light/483.png,€16M,€45K,1884,Right,3,2,3,Medium/ Low,Normal,Yes,LS,7,"Aug 17, 2018",,2022,5'11,170lbs,79+3,79+3,79+3,75+3,78+3,78+3,78+3,75+3,74+3,74+3,74+3,74+3,66+3,66+3,66+3,74+3,53+3,52+3,52+3,52+3,53+3,50+3,47+3,47+3,47+3,50+3,60,84,75,68,78,80,69,58,55,80,73,75,73,80,77,80,74,66,74,60,58,34,90,68,80,78,40,16,14,12,12,8,5,8,€33.6M
366,199042,C. Aránguiz,29,https://cdn.sofifa.org/players/4/19/199042.png,Chile,https://cdn.sofifa.org/flags/55.png,81,81,Bayer 04 Leverkusen,https://cdn.sofifa.org/teams/2/light/32.png,€17M,€76K,2144,Right,2,4,3,Medium/ Medium,Lean,No,LDM,20,"Aug 13, 2015",,2020,5'7,154lbs,71+2,71+2,71+2,76+2,75+2,75+2,75+2,76+2,77+2,77+2,77+2,77+2,79+2,79+2,79+2,77+2,76+2,77+2,77+2,77+2,76+2,74+2,70+2,70+2,70+2,74+2,78,64,53,84,68,75,75,76,83,82,76,65,80,76,85,80,61,87,63,75,80,74,75,81,76,76,74,71,72,15,7,12,8,13,€28.9M
369,193532,G. Medel,30,https://cdn.sofifa.org/players/4/19/193532.png,Chile,https://cdn.sofifa.org/flags/55.png,81,81,Beşiktaş JK,https://cdn.sofifa.org/teams/2/light/327.png,€13M,€56K,1996,Right,3,4,3,Medium/ High,Stocky,No,RCB,17,"Aug 11, 2017",,2020,5'7,143lbs,61+3,61+3,61+3,63+3,64+3,64+3,64+3,63+3,67+3,67+3,67+3,66+3,73+3,73+3,73+3,66+3,75+3,80+3,80+3,80+3,75+3,76+3,80+3,80+3,80+3,76+3,50,31,68,79,58,63,35,45,78,71,72,70,78,80,92,65,89,84,83,59,89,84,58,72,58,78,80,84,79,14,7,9,6,6,€24.7M
371,193165,J. Corona,25,https://cdn.sofifa.org/players/4/19/193165.png,Mexico,https://cdn.sofifa.org/flags/83.png,81,83,FC Porto,https://cdn.sofifa.org/teams/2/light/236.png,€21.5M,€18K,1993,Right,3,5,5,Medium/ Low,Normal,Yes,RM,17,"Aug 31, 2015",,2020,5'8,137lbs,75+3,75+3,75+3,81+3,80+3,80+3,80+3,81+3,80+3,80+3,80+3,80+3,74+3,74+3,74+3,80+3,64+3,60+3,60+3,60+3,64+3,61+3,51+3,51+3,51+3,61+3,73,76,67,76,75,91,85,67,68,84,87,79,90,82,87,66,72,74,39,67,45,45,80,77,68,85,52,40,31,11,6,10,14,9,€44.6M
375,190972,E. Salvio,27,https://cdn.sofifa.org/players/4/19/190972.png,Argentina,https://cdn.sofifa.org/flags/52.png,81,81,SL Benfica,https://cdn.sofifa.org/teams/2/light/234.png,€18.5M,€19K,2141,Right,2,4,4,High/ Medium,Stocky,No,RW,18,"Jul 1, 2012",,2019,5'8,170lbs,79+2,79+2,79+2,81+2,81+2,81+2,81+2,81+2,80+2,80+2,80+2,81+2,76+2,76+2,76+2,81+2,72+2,68+2,68+2,68+2,72+2,70+2,64+2,64+2,64+2,70+2,78,77,73,75,72,85,79,64,72,84,89,87,83,80,76,80,87,85,63,76,69,60,83,76,75,81,49,60,56,9,11,9,5,14,€37M
380,188988,M. Lanzini,25,https://cdn.sofifa.org/players/4/19/188988.png,Argentina,https://cdn.sofifa.org/flags/52.png,81,85,West Ham United,https://cdn.sofifa.org/teams/2/light/19.png,€23M,€90K,1931,Right,2,3,4,Medium/ Medium,Lean,Yes,CAM,10,"Jul 1, 2016",,2020,5'6,130lbs,72+2,72+2,72+2,79+2,78+2,78+2,78+2,79+2,79+2,79+2,79+2,79+2,74+2,74+2,74+2,79+2,59+2,55+2,55+2,55+2,59+2,54+2,43+2,43+2,43+2,54+2,74,70,56,80,61,87,76,76,78,86,84,78,86,73,89,75,75,73,39,76,48,27,73,79,73,77,27,36,25,14,9,6,7,15,€45.4M
384,183900,D. Perotti,29,https://cdn.sofifa.org/players/4/19/183900.png,Argentina,https://cdn.sofifa.org/flags/52.png,81,81,Roma,https://cdn.sofifa.org/teams/2/light/52.png,€17.5M,€84K,1959,Right,3,4,4,Medium/ Medium,Lean,No,LW,8,"Jan 1, 2016",,2021,5'10,154lbs,73+3,73+3,73+3,80+3,79+3,79+3,79+3,80+3,81+3,81+3,81+3,80+3,75+3,75+3,75+3,80+3,63+3,60+3,60+3,60+3,63+3,58+3,50+3,50+3,50+3,58+3,79,66,57,81,60,88,72,64,69,88,86,76,83,80,78,73,64,73,60,71,51,36,78,84,90,81,58,31,22,5,8,14,6,8,€29.8M
395,170368,E. Lamela,26,https://cdn.sofifa.org/players/4/19/170368.png,Argentina,https://cdn.sofifa.org/flags/52.png,81,82,Tottenham Hotspur,https://cdn.sofifa.org/teams/2/light/18.png,€21M,€105K,2100,Left,2,2,4,High/ High,Lean,Yes,RM,22,"Aug 30, 2013",,2022,6'0,176lbs,77+2,77+2,77+2,80+2,80+2,80+2,80+2,80+2,80+2,80+2,80+2,80+2,77+2,77+2,77+2,80+2,66+2,66+2,66+2,66+2,66+2,63+2,59+2,59+2,59+2,63+2,78,74,69,83,77,86,83,80,73,84,76,74,75,78,74,81,63,78,68,82,84,45,79,83,75,78,48,51,42,10,15,11,8,13,€40.4M
397,169416,C. Vela,29,https://cdn.sofifa.org/players/4/19/169416.png,Mexico,https://cdn.sofifa.org/flags/83.png,81,81,Los Angeles FC,https://cdn.sofifa.org/teams/2/light/112996.png,€17.5M,€15K,1986,Left,3,2,4,High/ Low,Normal,Yes,RW,10,"Jan 1, 2018",,2022,5'10,170lbs,78+3,78+3,78+3,80+3,80+3,80+3,80+3,80+3,80+3,80+3,80+3,79+3,73+3,73+3,73+3,79+3,59+3,56+3,56+3,56+3,59+3,54+3,46+3,46+3,46+3,54+3,79,81,70,81,82,83,81,71,66,83,78,80,81,78,81,74,68,74,67,80,57,37,81,81,72,80,31,22,14,8,14,8,13,10,€26.3M
406,156519,H. Herrera,28,https://cdn.sofifa.org/players/4/19/156519.png,Mexico,https://cdn.sofifa.org/flags/83.png,81,81,FC Porto,https://cdn.sofifa.org/teams/2/light/236.png,€17.5M,€20K,2106,Right,3,4,3,High/ High,Normal,No,CM,16,"Jul 1, 2013",,2019,6'0,159lbs,73+3,73+3,73+3,74+3,76+3,76+3,76+3,74+3,76+3,76+3,76+3,75+3,78+3,78+3,78+3,75+3,76+3,79+3,79+3,79+3,76+3,75+3,75+3,75+3,75+3,75+3,63,68,59,78,59,76,67,63,75,78,71,73,66,78,70,81,66,94,73,78,83,81,81,77,64,75,83,80,67,6,10,15,7,16,€35M
427,226226,G. Lo Celso,22,https://cdn.sofifa.org/players/4/19/226226.png,Argentina,https://cdn.sofifa.org/flags/52.png,80,86,Real Betis,https://cdn.sofifa.org/teams/2/light/449.png,€20M,€72K,2105,Left,1,3,3,High/ Medium,Normal,Yes,RCM,20,,Paris Saint-Germain,"Jun 30, 2019",5'9,154lbs,74+2,74+2,74+2,78+2,77+2,77+2,77+2,78+2,79+2,79+2,79+2,78+2,78+2,78+2,78+2,78+2,73+2,72+2,72+2,72+2,73+2,71+2,66+2,66+2,66+2,71+2,75,73,59,81,69,81,82,72,80,82,72,75,81,77,81,79,64,80,67,75,65,65,78,81,60,79,61,67,67,10,7,10,15,14,
428,224334,M. Acuña,26,https://cdn.sofifa.org/players/4/19/224334.png,Argentina,https://cdn.sofifa.org/flags/52.png,80,80,Sporting CP,https://cdn.sofifa.org/teams/2/light/237.png,€12.5M,€16K,2265,Left,2,3,4,Medium/ High,Stocky,No,LB,9,"Jul 21, 2017",,2023,5'8,152lbs,75+2,75+2,75+2,79+2,77+2,77+2,77+2,79+2,78+2,78+2,78+2,79+2,79+2,79+2,79+2,79+2,80+2,79+2,79+2,79+2,80+2,78+2,77+2,77+2,77+2,78+2,87,65,63,78,68,85,87,78,76,82,79,75,84,76,86,83,69,90,84,84,88,76,75,78,74,86,78,80,75,8,14,13,13,14,€25M
430,221639,Mariano,24,https://cdn.sofifa.org/players/4/19/221639.png,Dominican Republic,https://cdn.sofifa.org/flags/207.png,80,85,Real Madrid,https://cdn.sofifa.org/teams/2/light/243.png,€20M,€140K,2041,Right,1,4,3,High/ Medium,Normal,No,ST,7,"Aug 29, 2018",,2023,5'11,168lbs,79+2,79+2,79+2,74+2,76+2,76+2,76+2,74+2,73+2,73+2,73+2,72+2,67+2,67+2,67+2,72+2,59+2,59+2,59+2,59+2,59+2,58+2,58+2,58+2,58+2,58+2,50,81,82,69,70,75,76,76,51,72,84,85,79,82,72,85,92,81,79,82,86,45,79,63,75,68,41,40,34,12,14,6,8,15,€42.5M
438,215316,G. Rulli,26,https://cdn.sofifa.org/players/4/19/215316.png,Argentina,https://cdn.sofifa.org/flags/52.png,80,85,Real Sociedad,https://cdn.sofifa.org/teams/2/light/457.png,€14M,€26K,1264,Right,3,3,1,Medium/ Medium,Lean,Yes,GK,23,"Jan 1, 2017",,2022,6'2,185lbs,,,,,,,,,,,,,,,,,,,,,,,,,,,12,15,12,32,16,14,19,20,23,15,54,48,58,76,50,24,65,42,73,17,26,21,12,58,24,61,15,13,17,83,76,74,77,83,€30.5M
439,214584,F. Armani,31,https://cdn.sofifa.org/players/4/19/214584.png,Argentina,https://cdn.sofifa.org/flags/52.png,80,80,River Plate,https://cdn.sofifa.org/teams/2/light/1876.png,€9M,€22K,1224,Right,1,2,1,Medium/ Medium,Normal,No,GK,1,"Jan 12, 2018",,2022,6'2,194lbs,,,,,,,,,,,,,,,,,,,,,,,,,,,18,11,19,34,18,19,14,16,21,29,40,40,40,79,34,25,65,28,82,17,35,21,18,55,20,48,10,13,18,79,74,69,79,84,€12.6M
